dong,gu
당산제2동,영등포구
대림제1동,영등포구
대림제2동,영등포구
대림제3동,영등포구
도림동,영등포구
문래동,영등포구
신길제1동,영등포구
신길제3동,영등포구
신길제4동,영등포구
신길제5동,영등포구
신길제6동,영등포구
신길제7동,영등포구
양평제1동,영등포구
양평제2동,영등포구
여의동,영등포구
영등포동,영등포구
영등포본동,영등포구
남영동,용산구
보광동,용산구
서빙고동,용산구
용문동,용산구
용산2가동,용산구
원효로제1동,용산구
원효로제2동,용산구
이촌제1동,용산구
이촌제2동,용산구
이태원제1동,용산구
이태원제2동,용산구
청파동,용산구
한남동,용산구
효창동,용산구
후암동,용산구
갈현제1동,은평구
갈현제2동,은평구
구산동,은평구
녹번동,은평구
대조동,은평구
불광제1동,은평구
불광제2동,은평구
수색동,은평구
신사제1동,은평구
신사제2동,은평구
역촌동,은평구
응암제1동,은평구
응암제2동,은평구
응암제3동,은평구
증산동,은평구
진관동,은평구
가회동,종로구
교남동,종로구
무악동,종로구
부암동,종로구
사직동,종로구
삼청동,종로구
숭인제1동,종로구
숭인제2동,종로구
이화동,종로구
종로1·2·3·4가동,종로구
종로5·6가동,종로구
창신제1동,종로구
창신제2동,종로구
창신제3동,종로구
청운효자동,종로구
평창동,종로구
혜화동,종로구
광희동,중구
다산동,중구
동화동,중구
명동,중구
명동1가,중구
명동2가,중구
소공동,중구
신당동,중구
신당제5동,중구
약수동,중구
을지로1가,중구
을지로2가,중구
을지로3가,중구
을지로4가,중구
을지로5가,중구
을지로6가,중구
을지로7가,중구
을지로동,중구
장충동,중구
저동1가,중구
중림동,중구
청구동,중구
충무로1가,중구
충무로2가,중구
충무로3가,중구
필동,중구
황학동,중구
회현동,중구
회현동1가,중구
회현동2가,중구
회현동3가,중구
망우본동,중랑구
망우제3동,중랑구
면목본동,중랑구
면목제2동,중랑구
면목제3·8동,중랑구
면목제4동,중랑구
면목제5동,중랑구
면목제7동,중랑구
묵제1동,중랑구
묵제2동,중랑구
상봉제1동,중랑구
상봉제2동,중랑구
신내1동,중랑구
신내2동,중랑구
중화제1동,중랑구
중화제2동,중랑구
