dong,gu,incident_grade,subway_grade,construction_grade,groundwater,old,final_grade_simple
월계1동,노원구,3,3,1,3,2,2
월계2동,노원구,3,3,1,3,1,2
월계3동,노원구,3,3,1,3,3,3
중계1동,노원구,3,3,1,3,1,2
중계2·3동,노원구,3,3,1,3,1,2
중계4동,노원구,3,3,1,3,1,2
중계본동,노원구,3,3,1,3,1,2
하계1동,노원구,3,3,1,3,2,2
하계2동,노원구,3,3,1,3,4,3
도봉제1동,도봉구,3,3,1,4,2,3
도봉제2동,도봉구,3,3,1,4,1,2
방학제1동,도봉구,3,3,1,3,1,2
방학제2동,도봉구,3,3,1,3,2,2
방학제3동,도봉구,3,3,1,2,3,2
쌍문제1동,도봉구,3,3,1,2,2,2
쌍문제2동,도봉구,3,3,1,2,3,2
쌍문제3동,도봉구,3,3,1,2,2,2
쌍문제4동,도봉구,3,3,1,2,3,2
창제1동,도봉구,3,3,1,3,1,2
창제2동,도봉구,3,3,1,3,1,2
창제3동,도봉구,3,3,1,3,2,2
창제4동,도봉구,3,3,1,3,4,3
창제5동,도봉구,3,3,1,3,1,2
답십리제1동,동대문구,5,5,4,2,1,3
답십리제2동,동대문구,5,5,4,2,1,3
용신동,동대문구,5,5,4,2,2,4
이문제1동,동대문구,5,5,4,3,1,4
이문제2동,동대문구,5,5,4,3,2,4
장안제1동,동대문구,5,5,4,3,1,4
장안제2동,동대문구,5,5,4,3,1,4
전농제1동,동대문구,5,5,4,2,1,3
전농제2동,동대문구,5,5,4,2,1,3
제기동,동대문구,5,5,4,3,2,4
청량리동,동대문구,5,5,4,3,3,4
회기동,동대문구,5,5,4,3,3,4
휘경제1동,동대문구,5,5,4,3,1,4
휘경제2동,동대문구,5,5,4,3,1,4
노량진제1동,동작구,4,5,4,3,1,3
노량진제2동,동작구,4,5,4,3,3,4
대방동,동작구,4,5,4,3,1,3
사당제1동,동작구,4,5,4,3,1,3
사당제2동,동작구,4,5,4,3,1,3
사당제3동,동작구,4,5,4,2,1,3
사당제4동,동작구,4,5,4,2,1,3
