dong,gu,groundwater,old,weight
상암동,마포구,3,1,1
서강동,마포구,3,1,1
성산제1동,마포구,3,1,1
성산제2동,마포구,3,1,1
신수동,마포구,3,1,1
아현동,마포구,3,1,1
연남동,마포구,3,1,1
염리동,마포구,3,1,1
용강동,마포구,3,1,1
합정동,마포구,3,1,1
남가좌제1동,서대문구,3,1,1
남가좌제2동,서대문구,3,1,1
북가좌제1동,서대문구,3,2,1
북가좌제2동,서대문구,3,1,1
북아현동,서대문구,3,1,1
신촌동,서대문구,3,1,1
연희동,서대문구,3,2,1
천연동,서대문구,2,1,1
충현동,서대문구,3,3,1
홍은제1동,서대문구,2,2,1
홍은제2동,서대문구,3,2,1
홍제제1동,서대문구,2,1,1
홍제제2동,서대문구,2,1,1
홍제제3동,서대문구,2,2,1
내곡동,서초구,3,1,1
반포1동,서초구,3,1,1
반포2동,서초구,3,1,1
반포3동,서초구,3,4,1
반포4동,서초구,3,3,1
반포본동,서초구,3,1,1
방배1동,서초구,3,1,1
방배2동,서초구,2,1,1
방배3동,서초구,2,3,1
방배4동,서초구,3,3,1
방배본동,서초구,3,1,1
서초1동,서초구,3,1,1
서초2동,서초구,3,2,1
서초3동,서초구,3,1,1
서초4동,서초구,3,3,1
양재1동,서초구,3,1,1
양재2동,서초구,3,1,1
잠원동,서초구,4,3,1
광장동(성동X 주의),성동구,3,3,1
금호1가동,성동구,3,1,1
금호2·3가동,성동구,2,1,1
금호4가동,성동구,3,1,1
마장동,성동구,3,2,1
사근동,성동구,3,2,1
성수1가제1동,성동구,4,2,1
성수1가제2동,성동구,3,1,1
성수2가제1동,성동구,3,3,1
성수2가제3동,성동구,3,1,1
송정동,성동구,3,3,1
옥수동,성동구,3,1,1
왕십리도선동,성동구,2,1,1
왕십리제2동,성동구,2,1,1
응봉동,성동구,3,1,1
행당동(통칭),성동구,3,1,1
길음제1동,성북구,3,1,1
길음제2동,성북구,3,1,1
돈암제1동,성북구,3,1,1
돈암제2동,성북구,3,1,1
동선동,성북구,3,1,1
보문동,성북구,2,1,1
삼선동,성북구,2,2,1
석관동,성북구,3,1,1
성북동,성북구,3,3,1
안암동,성북구,3,2,1
월곡제1동,성북구,3,1,1
월곡제2동,성북구,3,1,1
장위제1동,성북구,3,1,1
장위제2동,성북구,3,3,1
장위제3동,성북구,3,1,1
정릉제1동,성북구,3,1,1
정릉제2동,성북구,3,1,1
정릉제3동,성북구,3,3,1
정릉제4동,성북구,3,1,1
종암동,성북구,3,1,1
가락1동,송파구,3,1,1
가락2동,송파구,3,2,1
가락본동,송파구,3,2,1
거여1동,송파구,2,1,1
거여2동,송파구,2,1,1
마천1동,송파구,2,1,1
마천2동,송파구,2,3,1
문정1동,송파구,3,1,1
문정2동,송파구,3,5,1
방이1동,송파구,3,2,1
방이2동,송파구,3,1,1
삼전동,송파구,3,1,1
석촌동,송파구,3,1,1
송파1동,송파구,3,4,1
송파2동,송파구,3,3,1
오금동,송파구,2,3,1
오륜동,송파구,3,5,1
위례동,송파구,2,1,1
잠실2동,송파구,3,1,1
잠실3동,송파구,3,3,1
잠실4가(지명 혼용시 주의),송파구,3,1,1
잠실4동,송파구,3,1,1
잠실6동,송파구,3,4,1
잠실7동,송파구,3,5,1
잠실본동,송파구,3,1,1
장지동,송파구,3,1,1
풍납1동,송파구,3,1,1
풍납2동,송파구,3,1,1
목1동,양천구,4,3,1
목2동,양천구,3,1,1
목3동,양천구,3,1,1
목4동,양천구,3,1,1
목5동,양천구,3,4,1
신월1동,양천구,3,1,1
신월2동,양천구,3,2,1
신월3동,양천구,3,2,1
신월4동,양천구,3,1,1
신월5동,양천구,3,1,1
신월6동,양천구,3,2,1
신월7동,양천구,3,5,1
신정1동,양천구,3,4,1
신정2동,양천구,3,1,1
신정3동,양천구,3,1,1
신정4동,양천구,3,1,1
신정6동,양천구,3,5,1
신정7동,양천구,3,2,1
당산제1동,영등포구,3,1,1
당산제2동,영등포구,3,1,1
대림제1동,영등포구,3,2,1
대림제2동,영등포구,3,2,1
대림제3동,영등포구,4,2,1
도림동,영등포구,4,1,1
문래동,영등포구,3,3,1
신길제1동,영등포구,3,2,1
신길제3동,영등포구,4,2,1
신길제4동,영등포구,4,2,1
신길제5동,영등포구,3,2,1
신길제6동,영등포구,3,4,1
신길제7동,영등포구,3,1,1
양평제1동,영등포구,3,2,1
양평제2동,영등포구,3,1,1
여의동,영등포구,4,4,1
영등포동,영등포구,4,1,1
영등포본동,영등포구,4,1,1
남영동,용산구,2,3,1
보광동,용산구,4,3,1
서빙고동,용산구,4,4,1
용문동,용산구,3,1,1
용산2가동,용산구,2,3,1
원효로제1동,용산구,3,1,1
원효로제2동,용산구,3,2,1
이촌제1동,용산구,3,2,1
이촌제2동,용산구,3,3,1
이태원제1동,용산구,3,4,1
이태원제2동,용산구,2,3,1
청파동,용산구,3,2,1
한남동,용산구,3,3,1
효창동,용산구,3,1,1
후암동,용산구,2,3,1
갈현제1동,은평구,2,2,1
갈현제2동,은평구,2,1,1
구산동,은평구,2,1,1
녹번동,은평구,2,1,1
대조동,은평구,2,1,1
불광제1동,은평구,2,2,1
불광제2동,은평구,2,1,1
수색동,은평구,3,1,1
신사제1동,은평구,3,1,1
신사제2동,은평구,3,2,1
역촌동,은평구,3,1,1
응암제1동,은평구,3,1,1
응암제2동,은평구,3,1,1
응암제3동,은평구,3,2,1
